Aachenerin,Aachener
Aalködern,Eel baiting
Aalköders,Eel bait
Aalkorb,Eel basket
Aalkörbchen,Eel basket
Aalkörbchens,Eel basket
Aalkörbe,Eel baskets
Aalkörben,Eel baskets
Aalkorbs,Eel baskets
Aalleiter,Eel ladder
Aalleitern,Eel ladders
Aalmolch,Eel newt
Aalmolche,Eel newts
Aalmolchen,Eel newts
Aalmolches,Eel newts
Aalmolchs,Eel newts
Aalmutter,Eel mother
Aalmuttern,Eel nuts
Aalquappe,Eel tadpole
Aalquappen,Eel tadpoles
Aalräucherei,Eel smokehouse
Aalräuchereien,Eel smokers
Aalraupe,Eel caterpillar
Aalraupen,Eel caterpillars
Aalreuse,Eel trap
Aalreusen,Eel traps
Aalrezept,Eel recipe
Aalrezepte,Eel recipes
Aalrezepten,Eel recipes
Aalrezepts,Eel recipe
Aalrutte,Eel rod
Aalrutten,Eel rods
Aals,Eels
Aalschere,Eel scissors
Aalscheren,Eel scissors
Aalschutzmaßnahme,Eel protection measure
Aalschutzmaßnahmen,Eel protection measures
Aalspeer,Eel spear
Aalspeere,Eel spears
Aalspeeren,Eel spears
Aalspeers,Eel spear
aalst,bask
Aalstechen,Eel stinging
Aalsterben,Eel dieback
Aalsterbens,Eel death
Aalstreif,Eel stripe
Aalstreifen,Eel strips
Aalstreifs,Eel strips
Aalstrich,Eel line
Aalstriche,Eel strokes
Aalstrichen,Eel strokes
Aalstriches,Eel line
Aalstrichs,Eel line
Aalstrichschmerle,Eel loach
Aalsüppchen,Eel soup
Aalsüppchens,Eel soup
Aalsuppe,Eel soup
Aalsuppen,Eel soups
aalt,basks
aalte,basking
aalten,basking
aaltest,basking
aaltet,ages
Aaltierchen,Eel animals
Aaltierchens,Eel animal
Aaltreppe,Eel stairs
Aaltreppen,Eel stairs
Aalverkauf,Eel sales
Aalverkäufe,Eel sales
Aalverkäufen,Eel sales
Aalverkäufer,Eel seller
Aalverkäuferin,Eel seller
Aalverkäuferinnen,Eel sellers
Aalverkäufern,Eel sellers
Aalverkäufers,Eel seller
Aalverkaufs,Eel sales
Aalverwandte,Eel relatives
Aalverwandten,Eel relatives
Aalwanderung,Eel migration
Aalwanderungen,Eel migrations
Aalwels,Eel catfish
Aalwelse,Eel catfish
Aalwelsen,Eel catfish
Aalwelses,Eel catfish
Aalzucht,Eel farming
Aalzuchtanlage,Eel breeding facility
Aalzuchtanlagen,Eel breeding systems
Aalzuchtbetrieb,Eel farm
Aalzuchtbetriebe,Eel farms
Aalzuchtbetrieben,Eel farms
Aalzuchtbetriebs,Eel farm
Aalzuchten,Eel breeding
Aalzüchter,Eel farmer
Aalzüchterin,Eel farmer
Aalzüchtern,Eel farmers
Aalzüchters,Eel farmer
Aalzüchtung,Eel breeding
Aareabschnitt,Aare section
Aareabschnitte,Aare sections
Aareabschnitten,Aare sections
Aareabschnitts,Aare section
aareabwärts,down the aare
aareaufwärts,aare upwards
Aaregletscher,Aare glacier
Aaregletschers,Aare glacier
Aareschlaufe,Aare loop
Aareschlucht,Aare Gorge
Aaretal,Aare valley
Aaretales,Aare Valley
Aaretals,Aare Valley
Aargauerinnen,Aargau women
Aargauern,Aargau
aargauisch,Aargau
aargauische,Aargau
aargauischem,Aargau
aargauischen,Aargau
aargauischer,Aargau
aargauisches,Aargau
Aargaus,Aargau
Aarhusbucht,Aarhus Bay
aaronitisch,Aaronic
aaronitische,aaronite
aaronitischem,Aaronic
aaronitischen,aaronite
aaronitischer,Aaronic
aaronitisches,Aaronic
Aas,Carrion
aasartig,carrion-like
aasartige,carrion-like
aasartigem,carrion-like
aasartigen,carrion-like
aasartiger,carrionier
aasartiges,carrion-like
Aasblume,Carrion flower
Aasblumen,Carrion flowers
Aasblumengewächs,Carrion family
Aasblumengewächse,Carrion plants
Aasblumengewächsen,Carrion plants
Aasblumengewächses,Carrion plant
Aasees,Aasee
Aaseestädterin,Aase city dweller
Aaseestädterinnen,Aase city women
Aaseeterrasse,Aa terrace
Aaseeterrassen,Carrion terraces
Aaseeterrassenfeste,Aaseeterrassenfassen
Aaseeterrassenfesten,Aaseeterrassenfassen
Aaseeterrassenfestes,Aaseeterrassenfest
Aases,Carrion
Aasfliege,Carrion fly
Aasfliegen,Carrion flies
aasfressend,scavenging
aasfressende,scavengers
aasfressendem,scavenging
aasfressenden,scavengers
aasfressender,scavengers
aasfressendes,scavenging
Aasfresser,scavenger
Aasfressern,Scavengers
Aasfressers,Scavengers
Aasgeier,Vulture
Aasgeiern,Vultures
Aasgeiers,Vultures
Aasgeruch,Carrion odor
Aasgeruchs,Carrion odor
Aasgestank,Carrion stench
Aasgestanks,Carrion stinks
Aasinsekt,Carrion insect
Aasinsekten,Carrion insects
Aasjäger,Carrion hunter
Aasjägern,Carrion hunters
Aasjägers,Carrion hunter
Aaskäfer,Carrion beetle
Aaskäferart,Carrion beetle species
Aaskäferarten,Carrion beetle species
Aaskäfern,Carrion beetles
Aaskäfers,Carrion beetle
Aaskrähe,Carrion crow
Aaskrähen,Carrion crows
Aasreste,Carrion remains
Aasresten,Carrion remains
Aasvogel,Carrion bird
Aasvögel,Carrion birds
Aasvögeln,Carrion birds
Aasvogels,Carrion
ab,from
Abaelard,Abelard
Abaelards,Abelards
Abaelardus,Abelardus
Abakus,abacus
Abakusblume,Abacus flower
Abakusblumen,Abacus flowers
Abakusblüte,Abacus flower
Abakusblüten,Abacus flowers
Abakusrechnen,Abacus calculation
Abakusrechnens,Abacus calculation
abänderbar,changeable
abänderbare,changeable
abänderbarem,changeable
abänderbaren,changeable
abänderbarer,changeable
abänderbares,changeable
Abänderbarkeit,Changeability
abändere,change
abändern,modify
abändernd,amending
abändernde,amending
abänderndem,modifying
abändernden,amending
abändernder,modifying
abänderndes,modifying
Abänderns,Amending
abänderst,alter
abändert,amends
abänderte,modified
abänderten,modified
abändertest,changed
abändertet,modified
Abänderung,amendment
Abänderungen,Amendments
Abänderungsantrag,Amendment
Abänderungsanträge,Amendments
Abänderungsanträgen,Amendments
Abänderungsantrages,Amendment request
Abänderungsantrags,Amendment
abänderungsbedürftig,in need of change
abänderungsbedürftige,in need of change
abänderungsbedürftigem,in need of change
abänderungsbedürftigen,in need of change
abänderungsbedürftiger,more in need of change
abänderungsbedürftiges,that needs to be changed
abänderungsfähig,changeable
abänderungsfähige,changeable
abänderungsfähigem,changeable
abänderungsfähigen,changeable
abänderungsfähiger,more changeable
abänderungsfähiges,changeable
Abänderungsgesetz,Amending Act
Abänderungsgesetze,Amending Laws
Abänderungsgesetzen,Amending Laws
Abänderungsgesetzes,Amending Act
Abänderungsklage,Amendment action
Abänderungsklagen,Amendment actions
Abänderungspatent,Amendment patent
Abänderungspatente,Amendment patents
Abänderungspatenten,Amendment patents
Abänderungspatents,Amendment patent
Abänderungsrecht,Right of amendment
Abänderungsrechte,Modification rights
Abänderungsrechten,Amendment rights
Abänderungsrechtes,Right of amendment
Abänderungstechnik,Modification technique
Abänderungstechniken,Modification techniques
Abänderungsverbot,Amendment prohibition
Abänderungsverbote,Amendment prohibitions
Abänderungsverboten,Amendment prohibitions
Abänderungsverbotes,Amendment ban
Abänderungsverbots,Amendment prohibition
Abänderungsvorschlag,Proposed amendment
Abänderungsvorschläge,Proposed changes
Abänderungsvorschlägen,Proposed amendments
Abänderungsvorschlages,Amendment proposal
Abänderungsvorschlags,Proposed amendment
abarbeite,work off
abarbeiten,work off
abarbeitend,working off
abarbeitende,processing
abarbeitendem,working off
abarbeitenden,working off
abarbeitender,working off
abarbeitendes,working off
Abarbeitens,Processing
abarbeitest,work off
abarbeitet,processed
abarbeitete,worked off
abarbeiteten,worked off
abarbeitetest,processed
abarbeitetet,processed
Abarbeitung,Processing
Abarbeitungen,Processing
Abarbeitungsfolge,Processing sequence
Abarbeitungsgeschwindigkeit,Processing speed
Abarbeitungsgeschwindigkeiten,Processing speeds
Abarbeitungslauf,Processing run
Abarbeitungslaufs,Processing run
Abarbeitungsmechanismen,Processing mechanisms
Abarbeitungsmechanismus,Processing mechanism
Abarbeitungsreihenfolge,Processing order
Abarbeitungsreihenfolgen,Processing sequences
Abarbeitungsschritt,Processing step
Abarbeitungsschritte,Processing steps
Abarbeitungsschritten,Processing steps
Abarbeitungsschrittes,Processing step
Abarbeitungszeit,Processing time
Abarbeitungszeiten,Processing times
Abart,variety
Abarten,Varieties
abartig,abnormal
abartige,abnormal
abartigem,abnormal
abartigen,abnormal
abartiger,more abnormal
abartigere,more abnormal
abartigerem,more abnormal
abartigeren,more abnormal
abartigerer,more deviant
abartigeres,more abnormal
abartiges,abnormal
Abartigkeit,Abnormality
Abartigkeiten,Abnormalities
abartigste,most peculiar
abartigstem,most abnormal
abartigsten,most deviant
abartigster,most peculiar
abartigstes,most peculiar
abaxiale,abaxial
abaxialem,abaxial
abaxialer,more abaxial
abaxiales,abaxial
abbaggere,excavated
abbaggern,dredging
abbaggernd,dredging
abbaggernde,dredging
abbaggerndem,dredging
abbaggernden,dredging
abbaggernder,dredging
abbaggerndes,dredging
abbaggerst,dredged
abbaggert,dredged
abbaggerte,dredged
abbaggerten,dredged
Abbaggerung,Demolition
abballere,shoot
abballern,shoot
abballerst,shot off
abballert,shoots
abballerte,shot
abballerten,shot
abballertest,blasted
abband,tape
abbände,tapers
abbanden,band off
abbänden,remove
abbandest,tied off
abbändest,demolish
abbandet,tied off
abbändet,tames
Abbasiden,Abbasids
Abbasidenkalifat,Abbasid Caliphate
Abbasidenkalifats,Abbasid Caliphate
Abbasidenkalifen,Abbasid Caliphs
Abbasidenkalifs,Abbasid califs
Abbasidenzeit,Abbasid period
abbasidisch,Abbasid
abbasidische,Abbasid
abbasidischen,Abbasid
abbasidischer,more abbasid
abbasidisches,Abbasid
abbäte,dissuade
abbaten,dissuade
abbäten,dissipate
Abbauarbeiten,Dismantling work
Abbaubakterium,Degradation bacteria
abbaubarer,more degradable
Abbaumechanismus,Degradation mechanism
Abbaumeißel,Mining chisel
Abbaumethode,Mining method
Abbaumöglichkeiten,Dismantling options
Abbauortes,Dismantling site
Abbauplänen,Dismantling plans
Abbauplanes,Dismantling plan
Abbauplanung,Dismantling planning
Abbaupotentiale,Degradation potentials
Abbaupotentialen,Degradation potentials
Abbauprodukte,Degradation products
Abbauprodukten,Degradation products
Abbauproduktes,Degradation product
Abbauprofile,Degradation profiles
Abbauprofils,Degradation profile
Abbauprogramm,Reduction program
Abbauprogramms,Reduction program
Abbauprozess,Degradation process
Abbauprozesse,Degradation processes
Abbauprozessen,Degradation processes
Abbauprozesses,Degradation process
Abbaupunkt,Dismantling point
Abbaupunkte,Breakdown points
Abbaupunkten,Breakdown points
Abbaurahmen,Dismantling frame
Abbaurahmens,Dismantling frame
Abbaurate,Degradation rate
Abbauraten,Degradation rates
Abbauraum,Mining space
Abbauraumes,Dismantling space
Abbaureaktion,Degradation reaction
Abbaurecht,Mining right
Abbaurechte,Mining rights
Abbaurechten,Mining rights
Abbaurechtes,Mining right
Abbauregion,Mining region
Abbauregionen,Mining regions
Abbaurevier,Mining area
Abbaureviere,Mining areas
Abbaurevieren,Mining areas
Abbaureviers,Mining areas
Abbaurichtung,Mining direction
Abbauriss,Dismantling crack
Abbaurisse,Mining cracks
Abbaurissen,Mining cracks
Abbaurisses,Dismantling crack
Abbaus,Degradation
Abbauscheibe,Dismantling disc
Abbauschnitt,Dismantling section
Abbauschnitten,Mining cuts
Abbauschwerpunkt,Mining focus
Abbauschwerpunkte,Mining focus
Abbauschwerpunktes,Mining focus
Abbausee,Mining lake
Abbauseen,Mining lakes
Abbauseiten,Dismantling sides
Abbausignal,Degradation signal
Abbausignals,Degradation signal
Abbausituation,Dismantling situation
Abbausituationen,Dismantling situations
Abbausohle,Mining floor
Abbausohlen,Dismantling soles
Abbauspuren,Signs of degradation
abbaust,degrades
Abbaustation,Dismantling station
Abbaustationen,Mining stations
Abbaustätte,Mining site
Abbaustätten,Quarries
Abbaustelle,Dismantling site
Abbaustellung,Dismantling position
Abbaustoff,Degradation material
Abbaustoffe,Degradation materials
Abbaustoffen,Degradation materials
Abbaustoffs,Degradation
Abbaustoffwechsel,Degradation metabolism
Abbaustoffwechseln,Degradation metabolism
Abbaustoffwechsels,Degradation metabolism
Abbaustollen,Mining tunnels
Abbaustörung,Degradation disorder
Abbaustörungen,Breakdowns
Abbaustoß,Mining shock
Abbaustöße,Mining impacts
Abbaustößen,Dismantling joints
Abbaustoßes,Mining impact
Abbaustrecke,Dismantling line
Abbaustrecken,Mining routes
Abbaustreckenförderer,Excavation conveyor
Abbaustreckenförderern,Mining line conveyors
Abbaustreckenförderers,Mining line conveyor
Abbaustreckenförderung,Mining section funding
Abbaustreckenlokomotiven,Dismantling locomotives
Abbaustufe,Degradation stage
Abbaustufen,Degradation stages
Abbausyndrom,Degradation syndrome
Abbausyndroms,Degradation syndrome
Abbausysteme,Mining systems
Abbausystemen,Mining systems
Abbausystems,Mining system
abbaut,degrades
Abbautätigkeit,Mining activity
Abbautätigkeiten,Dismantling activities
abbaute,degraded
Abbautechniken,Mining techniques
Abbauteich,Mining pond
Abbauteiche,Mining oak
Abbauteichen,Mining ponds
abbautest,degraded
abbautet,degraded
Abbauverbot,Dismantling ban
Abbauverboten,Dismantling bans
Abbauverbotes,Dismantling ban
Abbauverbots,Dismantling ban
Abbauverfahren,Dismantling process
Abbauverfahrens,Dismantling process
Abbauverhalten,Degradation behavior
Abbauverhaltens,Degradation behavior
Abbauverlust,Degradation loss
Abbauverluste,Degradation losses
Abbauverlusten,Degradation losses
Abbauverlustes,Degradation loss
Abbauvermögen,Mining capacity
Abbauvermögens,Mining capacity
Abbauvolumen,Dismantling volume
Abbauvolumens,Dismantling volume
Abbauvorgangs,Dismantling process
Abbauwand,Dismantling wall
Abbauwege,Degradation routes
Abbauwegen,Mining routes
Abbauwerkzeug,Removal tool
Abbauwerkzeuge,Removal tools
Abbauwerkzeugen,Removal tools
Abbauwerkzeuges,Removal tool
Abbauwert,Degradation value
Abbauwerten,Degradation values
abbauwürdige,degradable
abbauwürdigem,degradable
abbauwürdigen,degradable
abbauwürdiger,more degradable
abbauwürdiges,degradable
Abbauwürdigkeit,Degradability
Abbauzeit,Dismantling time
Abbauzeiten,Dismantling times
Abbauzeiträume,Dismantling periods
Abbauzeiträumen,Dismantling periods
Abbauzeitraumes,Dismantling period
Abbauzeitraums,Dismantling period
Abbauzelle,Dismantling cell
Abbauzellen,Degradation cells
Abbauzentrum,Dismantling center
Abbauzentrums,Dismantling center
Abbauzone,Mining zone
Abbauzonen,Mining zones
Abbauzustand,Dismantling
Abbauzustands,State of degradation
Abbauzyklus,Degradation cycle
abbedinge,conditional
abbedingen,to terminate
abbedingend,unconditional
abbedingst,conditional
abbedingt,conditional
abbedungen,waived
abbeiße,bite off
abbeißen,bite off
abbeißend,biting off
abbeißende,biting off
abbeißendem,biting off
abbeißenden,biting off
abbeißender,biting off
abbeißendes,biting off
Abbeißens,Biting off
abbeißt,bites off
abbeize,stripping
abbeizen,stripping
abbeizende,stripping
abbeizendem,stripping
abbeizenden,stripping
abbeizender,stripper
abbeizendes,stripping
Abbeizens,Stripping
Abbeizer,Paint stripper
Abbeizerrückstände,Stripping residues
Abbeizerrückständen,Stripping residues
Abbeizgel,Paint stripper
Abbeizgels,Stripping gel
Abbeizmittel,Paint remover
Abbeizmitteln,Paint strippers
Abbeizmittels,Paint remover
Abbeizpaste,Paint stripping paste
Abbeizpasten,Stripping pastes
abbeizt,stripped
abbeizte,stripped
abbeizten,stripped
abbeiztest,stripped
abbeiztet,stripped
abbekam,got off
abbekäme,would get
abbekamen,got off
abbekämen,get off
abbekamst,got
abbekämst,got off
abbekamt,got off
abbekämt,got off
abbekomme,get off
abbekommen,to get
Abbekommens,Agreement
abbekommst,get off
abbekommt,gets off
abbeordere,order
abbeordern,order
abbeordernd,delegating
abbeordernde,delegating
abbeorderndem,delegating
abbeordernden,delegating
abbeordernder,delegating
abbeorderndes,delegating
abbeorderst,disembark
abbeordert,ordered
abbeorderte,ordered
abbeorderten,delegated
abbeordertes,delegated
abberaume,clear away
abberaumen,clear away
abberaumend,clearing
abberaumende,clearing
abberaumendem,clearing
abberaumenden,clearing
abberaumender,clearing away
abberaumendes,clearing
abberaumst,cleared
abberaumt,cleared
abberaumte,cleared away
abberaumten,cleared away
abberaumtest,cleared away
abberief,recalled
abberiefe,call off
abberiefen,recall
abberiefest,dismissed
abberiefst,dismissed
abberieft,dismissed
abberufbar,recallable
abberufbare,retrievable
abberufbaren,retrievable
abberufbarer,recallable
abberufbares,retrievable
abberufe,recall
abberufen,recalled
abberufend,recalling
abberufende,recalling
abberufendem,recalling
abberufenden,recalling
abberufender,recalling
abberufendes,recalling
abberufene,recalled
abberufenem,recalled
abberufener,recalled
abberuft,recalled
Abberufungen,Removals
Abberufungsbescheides,Notice of dismissal
Abberufungsbescheids,Notice of dismissal
Abberufungsbeschlüsse,Resignation resolutions
Abberufungsbeschlüssen,Resignation resolutions
abbestellbar,can be canceled
abbestellbare,cancelable
abbestellbares,can be canceled
abbestelle,unsubscribe
abbestellenden,unsubscribe
abbestellendes,unsubscribing
Abbestellens,Unsubscribe
Abbestelllinks,Unsubscribe links
abbestellst,unsubscribe
abbestellt,canceled
abbestellter,unsubscribed
Abbestellung,Unsubscribe
Abbestellungen,Unsubscriptions
Abbestellungsprozess,Unsubscribe process
abbettele,begging
abbettelnden,begging
abbettelnder,begging
abbettelndes,begging
abbettelte,begged
abbettelten,begged
abbetteltest,begging
abbezahlen,pay off
abbezahlender,paying off
abbezahlst,pay off
abbezahltes,paid off
Abbildern,Images
abbildest,map
abbildetest,mapped
Abbildform,Image form
abbildgenau,exact image
abbildgenauem,image-accurate
abbildgenauen,exact image
abbildhaftem,pictorial
abbildhaften,depict
Abbildkonstituenten,Image constituents
Abbildkunst,Image art
Abbilds,Image
abbildtheoretisch,image-theoretical
abbildtheoretische,image-theoretical
abbildtheoretischen,image-theoretical
Abbildungsabschnitt,Figure section
Abbildungsabschnitte,Figure sections
Abbildungsabstandes,Imaging distance
Abbildungsabstands,Imaging distance
Abbildungsapparat,Imaging apparatus
Abbildungsapparate,Imaging apparatus
Abbildungsapparaten,Imaging apparatus
Abbildungsarten,Illustration types
Abbildungsaspekt,Mapping aspect
Abbildungsaspekte,Mapping aspects
Abbildungsaspekten,Mapping aspects
Abbildungsaspekts,Mapping aspect
Abbildungsband,Figure tape
Abbildungsbände,Illustration volumes
Abbildungsbänden,Illustration volumes
Abbildungsbereich,Mapping area
Abbildungsbereichs,Mapping area
Abbildungsbeziehungen,Mapping relationships
Abbildungsdefekt,Image defect
Abbildungsdefekte,Image defects
Abbildungsdefekten,Imaging defects
Abbildungsebene,Mapping plane
Abbildungseigenschaft,Picture property
Abbildungseigenschaften,Imaging properties
Abbildungselement,Imaging element
Abbildungselemente,Figure elements
Abbildungselementen,Mapping elements
Abbildungsfaktoren,Mapping factors
Abbildungsfaktors,Mapping factor
Abbildungsfehlern,Imaging errors
Abbildungsfehlers,Aberration
Abbildungsfläche,Imaging surface
Abbildungsform,Figure form
Abbildungsformat,Illustration format
Abbildungsformate,Image formats
Abbildungsformaten,Image formats
Abbildungsformates,Image format
Abbildungsformen,Forms of illustration
Abbildungsfreiheit,Freedom of representation
Abbildungsfunktion,Mapping function
Abbildungsgalerie,Picture gallery
Abbildungsgalerien,Picture galleries
Abbildungsgegenstand,Subject of the illustration
Abbildungsgegenstände,Objects of illustration
Abbildungsgegenständen,Objects of illustration
Abbildungsgegenstandes,The subject of the illustration
Abbildungsgenauigkeit,Imaging accuracy
Abbildungsgenauigkeiten,Imaging accuracy
Abbildungsgeometrie,Imaging geometry
Abbildungsgeometrien,Imaging geometries
Abbildungsgesetz,Mapping law
Abbildungsgesetze,Mapping laws
Abbildungsgesetzen,Mapping laws
Abbildungsgesetzes,Mapping law
Abbildungsgleichung,Mapping equation
Abbildungsgleichungen,Mapping equations
Abbildungsgraphik,Illustration graphic
Abbildungsgraphiken,Illustration graphics
Abbildungsgröße,Image size
Abbildungsgrößen,Image sizes
Abbildungshilfe,Illustration aid
Abbildungshilfen,Imaging aids
Abbildungshilfsfläche,Illustration auxiliary surface
Abbildungshilfsflächen,Illustration auxiliary surfaces
Abbildungskette,Figure chain
Abbildungsklassen,Figure classes
Abbildungskreis,Figure circle
Abbildungskreise,Figure circles
Abbildungskreisen,Figure circles
Abbildungskreises,Figure circle
Abbildungslegende,Figure legend
Abbildungsleistung,Imaging performance
Abbildungsleistungen,Imaging services
Abbildungsliste,List of figures
Abbildungslösung,Imaging solution
Abbildungslösungen,Imaging solutions
Abbildungsmaske,Mapping mask
Abbildungsmasken,Mapping masks
Abbildungsmaßstab,Reproduction scale
Abbildungsmaßstäbe,Image scales
Abbildungsmaßstäben,Reproduction scales
Abbildungsmaßstabes,Image scale
Abbildungsmatrix,Mapping matrix
Abbildungsmatrizen,Imaging matrices
Abbildungsmedien,Imaging media
Abbildungsmedium,Imaging medium
Abbildungsmediums,Imaging medium
Abbildungsmethode,Mapping method
Abbildungsmethoden,Imaging methods
Abbildungsmodus,Image mode
Abbildungsmöglichkeit,Illustration possibility
Abbildungsmöglichkeiten,Illustration possibilities
Abbildungsnachweis,Photo credit
Abbildungsnachweise,Photo credits
Abbildungsnachweisen,Photo credits
Abbildungsnachweises,Picture credits
Abbildungsnotationen,Figure notations
Abbildungsobjekt,Image object
Abbildungsobjekte,Imaging objects
Abbildungsobjekten,Imaging objects
Abbildungsobjektes,Image object
Abbildungsoperator,Mapping operator
Abbildungsoperatoren,Mapping operators
Abbildungsoperators,Mapping operator
Abbildungsoptik,Imaging optics
Abbildungsoptimierung,Image optimization
Abbildungsoptimierungen,Image optimization
Abbildungspfeil,Figure arrow
Abbildungspfeile,Figure arrows
Abbildungspfeilen,Illustration arrows
Abbildungspfeils,Illustration arrow
Abbildungsplagiat,Image plagiarism
Abbildungsplagiaten,Image plagiarism
Abbildungspräzision,Imaging precision
Abbildungspräzisionen,Imaging precision
Abbildungsprinzip,Mapping principle
Abbildungsprozess,Mapping process
Abbildungsprozesse,Mapping processes
Abbildungsprozessen,Mapping processes
Abbildungsprozesses,Mapping process
Abbildungsqualität,Image quality
Abbildungsqualitäten,Imaging qualities
Abbildungsrand,Image margin
Abbildungsränder,Image margins
Abbildungsrändern,Image margins
Abbildungsrandes,Image margin
Abbildungsraumes,Imaging space
Abbildungsrecht,Image right
Abbildungsrechte,Image rights
Abbildungsrechten,Illustration rights
Abbildungsregister,Figure register
Abbildungsregistern,Mapping registers
Abbildungsregisters,Mapping register
Abbildungsrichtung,Imaging direction
Abbildungsrichtungen,Mapping directions
Abbildungssammlungen,Picture collections
Abbildungssatz,Illustration set
Abbildungssatzes,Illustration set
Abbildungsschärfe,Image sharpness
Abbildungsschärfen,Image sharpness
Abbildungsschritt,Mapping step
Abbildungsschritte,Mapping steps
Abbildungsschritten,Mapping steps
Abbildungsspeicherung,Image storage
Abbildungsstörung,Mapping disorder
Abbildungsstörungen,Imaging disturbances
Abbildungsstrahl,Imaging beam
Abbildungsstrahlen,Imaging rays
Abbildungsstrahlengang,Imaging beam path
Abbildungsstrahlenganges,Imaging beam path
Abbildungsstrahls,Imaging beam
Abbildungsstreifen,Figure strips
Abbildungsstreifens,Image strip
Abbildungssystem,Imaging system
Abbildungssysteme,Imaging systems
Abbildungssystemen,Imaging systems
Abbildungssystems,Imaging system
Abbildungstechnik,Illustration technique
Abbildungstechniken,Imaging techniques
Abbildungstechnologie,Imaging technology
Abbildungsteil,Figure part
Abbildungsteils,Figure part
Abbildungstiefe,Illustration depth
Abbildungstyp,Figure type
Abbildungstypen,Figure types
Abbildungstyps,Mapping type
Abbildungsübersicht,Figure overview
Abbildungsübersichten,Figure overviews
Abbildungsunschärfe,Image blur
Abbildungsverarbeitung,Image processing
Abbildungsverarbeitungen,Image processing
Abbildungsverbot,Image ban
Abbildungsverbote,Image bans
Abbildungsverboten,Image bans
Abbildungsverbotes,Prohibition of reproduction
Abbildungsverbots,Ban on images
Abbildungsverfahren,Imaging process
Abbildungsverfahrens,Mapping process
Abbildungsverhalten,Imaging behavior
Abbildungsverhaltens,Mapping behavior
Abbildungsverhältnis,Aspect ratio
